## Physlog file version = 2
## AMC Amsterdam (SRN = 71279), Release unify (SWID 22.22)
## Tue 03-10-2017 18:03:34
## 0 0 0 0 0 16 14 11 0 23 23 -10 11 0 11 9 8 -9 0 20 [cal=3, reqid=5]
## Dockable table = FALSE
# v1raw v2raw  v1 v2  ppu resp  gx gy gz mark mark2
-6 -7  -9 -11  1 2064  0 0 0 0000 0200
-3 -4  -9 -10  1 2064  0 0 0 0000 0200
0 -1  -8 -9  1 2064  0 0 0 0000 0200
3 1  -6 -7  1 2064  0 0 0 0000 0200
6 3  -4 -5  1 2064  0 0 0 0000 0200
7 3  -2 -3  1 2064  0 0 0 0000 0200
9 6  0 -1  1 2064  0 0 0 0000 0200
7 3  1 0  1 2064  0 0 0 0000 0200
6 1  2 0  1 2064  0 0 0 0000 0200
3 0  2 0  1 2064  0 0 0 0000 0200
0 0  1 0  1 2064  0 0 0 0000 0200
0 0  0 0  1 2064  0 0 0 0000 0200
3 0  0 -1  1 2064  0 0 0 0000 0200
4 3  0 0  1 2107  0 0 0 0000 0200
6 4  0 0  1 2107  0 0 0 0000 0200
9 7  1 0  1 2107  0 0 0 0000 0200
9 7  2 1  1 2107  0 0 0 0000 0200
9 6  3 2  1 2107  0 0 0 0000 0200
9 6  3 2  1 2150  0 0 0 0000 0200
10 7  4 3  1 2150  0 0 0 0000 0200
12 10  5 4  1 2150  0 0 0 0000 0200
16 15  6 5  1 2150  0 0 0 0000 0200
18 16  7 7  1 2150  0 0 0 0000 0200
15 15  8 8  1 2193  0 0 0 0000 0200
15 15  9 10  1 2193  0 0 0 0000 0200
16 15  10 10  1 2193  0 0 0 0000 0200
16 18  10 11  1 2193  0 0 0 0000 0200
18 19  11 12  1 2193  0 0 0 0000 0200
21 22  12 13  1 2236  0 0 0 0000 0200
24 27  13 15  1 2236  0 0 0 0000 0200
27 27  15 17  1 2236  0 0 0 0000 0200
24 24  16 19  1 2236  0 0 0 0000 0200
24 21  17 19  1 2236  0 0 0 0000 0200
24 18  17 18  1 2236  0 0 0 0000 0200
21 15  17 17  1 2236  0 0 0 0000 0200
19 15  16 15  1 2236  0 0 0 0000 0200
18 15  15 13  1 2236  0 0 0 0000 0200
15 15  13 11  1 2236  0 0 0 0000 0200
15 12  12 10  1 2279  0 0 0 0000 0200
15 12  10 9  1 2279  0 0 0 0000 0200
13 9  9 7  1 2279  0 0 0 0000 0200
10 6  7 5  1 2279  0 0 0 0000 0200
7 3  5 3  1 2279  0 0 0 0000 0200
7 3  3 1  1 2365  0 0 0 0000 0200
9 4  2 0  1 2365  0 0 0 0000 0200
9 6  1 0  1 2365  0 0 0 0000 0200
9 9  1 0  1 2365  0 0 0 0000 0200
7 6  0 0  1 2365  0 0 0 0000 0200
6 4  0 0  1 2408  0 0 0 0000 0200
3 1  0 0  1 2408  0 0 0 0000 0200
